flags localhost:9092 4002
SendTask 52fdfc07-2182-654f 0
SendTask 52fdfc07-2182-654f 3
SendTask 52fdfc07-2182-654f 1
SendTask 52fdfc07-2182-654f 2
SendTask 52fdfc07-2182-654f 4
SendTask 52fdfc07-2182-654f 34
SendTask 52fdfc07-2182-654f 10
SendTask 52fdfc07-2182-654f 13
SendTask 52fdfc07-2182-654f 142
SendTask 52fdfc07-2182-654f 22
SendTask 52fdfc07-2182-654f 0
SendTask 52fdfc07-2182-654f 31
SendTask 52fdfc07-2182-654f 2
SendTask 52fdfc07-2182-654f 21
SendTask 52fdfc07-2182-654f 62
SendTask 52fdfc07-2182-654f 1
SendTask 52fdfc07-2182-654f 4
SendTask 52fdfc07-2182-654f 9
SendTask 52fdfc07-2182-654f 12
SendTask 52fdfc07-2182-654f 14
SendTask 52fdfc07-2182-654f 23
SendTask 52fdfc07-2182-654f 26
SendTask 52fdfc07-2182-654f 28
SendTask 52fdfc07-2182-654f 30
SendTask 52fdfc07-2182-654f 32
SendTask 52fdfc07-2182-654f 44
SendTask 52fdfc07-2182-654f 53
SendTask 52fdfc07-2182-654f 56
SendTask 52fdfc07-2182-654f 57
SendTask 52fdfc07-2182-654f 59
SendTask 52fdfc07-2182-654f 72
SendTask 52fdfc07-2182-654f 87
SendTask 52fdfc07-2182-654f 64
SendTask 52fdfc07-2182-654f 71
SendTask 52fdfc07-2182-654f 5
SendTask 52fdfc07-2182-654f 11
SendTask 52fdfc07-2182-654f 17
SendTask 52fdfc07-2182-654f 18
SendTask 52fdfc07-2182-654f 19
SendTask 52fdfc07-2182-654f 25
SendTask 52fdfc07-2182-654f 29
SendTask 52fdfc07-2182-654f 99
SendTask 52fdfc07-2182-654f 47
SendTask 52fdfc07-2182-654f 48
SendTask 52fdfc07-2182-654f 52
SendTask 52fdfc07-2182-654f 104
SendTask 52fdfc07-2182-654f 54
SendTask 52fdfc07-2182-654f 55
SendTask 52fdfc07-2182-654f 7
SendTask 52fdfc07-2182-654f 15
SendTask 52fdfc07-2182-654f 16
SendTask 52fdfc07-2182-654f 20
SendTask 52fdfc07-2182-654f 24
SendTask 52fdfc07-2182-654f 33
SendTask 52fdfc07-2182-654f 36
SendTask 52fdfc07-2182-654f 37
SendTask 52fdfc07-2182-654f 39
SendTask 52fdfc07-2182-654f 38
SendTask 52fdfc07-2182-654f 42
SendTask 52fdfc07-2182-654f 60
SendTask 52fdfc07-2182-654f 49
SendTask 52fdfc07-2182-654f 50
SendTask 52fdfc07-2182-654f 51
SendTask 52fdfc07-2182-654f 65
SendTask 52fdfc07-2182-654f 63
SendTask 52fdfc07-2182-654f 66
SendTask 52fdfc07-2182-654f 70
SendTask 52fdfc07-2182-654f 67
SendTask 52fdfc07-2182-654f 73
SendTask 52fdfc07-2182-654f 110
SendTask 52fdfc07-2182-654f 69
SendTask 52fdfc07-2182-654f 109
SendTask 52fdfc07-2182-654f 108
SendTask 52fdfc07-2182-654f 114
SendTask 52fdfc07-2182-654f 74
SendTask 52fdfc07-2182-654f 77
SendTask 52fdfc07-2182-654f 113
SendTask 52fdfc07-2182-654f 76
SendTask 52fdfc07-2182-654f 78
SendTask 52fdfc07-2182-654f 79
SendTask 52fdfc07-2182-654f 80
SendTask 52fdfc07-2182-654f 126
SendTask 52fdfc07-2182-654f 85
SendTask 52fdfc07-2182-654f 134
SendTask 52fdfc07-2182-654f 139
SendTask 52fdfc07-2182-654f 98
SendTask 52fdfc07-2182-654f 43
SendTask 52fdfc07-2182-654f 61
SendTask 52fdfc07-2182-654f 118
SendTask 52fdfc07-2182-654f 123
SendTask 52fdfc07-2182-654f 84
SendTask 52fdfc07-2182-654f 86
SendTask 52fdfc07-2182-654f 58
SendTask 52fdfc07-2182-654f 165
SendTask 52fdfc07-2182-654f 117
SendTask 52fdfc07-2182-654f 154
SendTask 52fdfc07-2182-654f 119
SendTask 52fdfc07-2182-654f 120
SendTask 52fdfc07-2182-654f 129
SendTask 52fdfc07-2182-654f 122
SendTask 52fdfc07-2182-654f 111
SendTask 52fdfc07-2182-654f 75
SendTask 52fdfc07-2182-654f 82
SendTask 52fdfc07-2182-654f 116
SendTask 52fdfc07-2182-654f 121
SendTask 52fdfc07-2182-654f 83
SendTask 52fdfc07-2182-654f 127
SendTask 52fdfc07-2182-654f 125
SendTask 52fdfc07-2182-654f 88
SendTask 52fdfc07-2182-654f 92
SendTask 52fdfc07-2182-654f 132
SendTask 52fdfc07-2182-654f 95
SendTask 52fdfc07-2182-654f 133
SendTask 52fdfc07-2182-654f 137
SendTask 52fdfc07-2182-654f 93
SendTask 52fdfc07-2182-654f 96
SendTask 52fdfc07-2182-654f 94
SendTask 52fdfc07-2182-654f 105
SendTask 52fdfc07-2182-654f 106
SendTask 52fdfc07-2182-654f 143
SendTask 52fdfc07-2182-654f 107
SendTask 52fdfc07-2182-654f 147
SendTask 52fdfc07-2182-654f 115
SendTask 52fdfc07-2182-654f 150
SendTask 52fdfc07-2182-654f 228
SendTask 52fdfc07-2182-654f 164
SendTask 52fdfc07-2182-654f 144
SendTask 52fdfc07-2182-654f 131
SendTask 52fdfc07-2182-654f 103
SendTask 52fdfc07-2182-654f 149
SendTask 52fdfc07-2182-654f 130
SendTask 52fdfc07-2182-654f 90
SendTask 52fdfc07-2182-654f 136
SendTask 52fdfc07-2182-654f 138
SendTask 52fdfc07-2182-654f 100
SendTask 52fdfc07-2182-654f 81
SendTask 52fdfc07-2182-654f 101
SendTask 52fdfc07-2182-654f 156
SendTask 52fdfc07-2182-654f 102
SendTask 52fdfc07-2182-654f 124
SendTask 52fdfc07-2182-654f 145
SendTask 52fdfc07-2182-654f 146
SendTask 52fdfc07-2182-654f 46
SendTask 52fdfc07-2182-654f 91
SendTask 52fdfc07-2182-654f 68
SendTask 52fdfc07-2182-654f 3
SendTask 52fdfc07-2182-654f 6
SendTask 52fdfc07-2182-654f 112
SendTask 52fdfc07-2182-654f 8
SendTask 52fdfc07-2182-654f 128
SendTask 52fdfc07-2182-654f 27
SendTask 52fdfc07-2182-654f 89
SendTask 52fdfc07-2182-654f 35
SendTask 52fdfc07-2182-654f 40
SendTask 52fdfc07-2182-654f 97
SendTask 52fdfc07-2182-654f 41
SendTask 52fdfc07-2182-654f 135
SendTask 52fdfc07-2182-654f 45
SendTask 52fdfc07-2182-654f 140
SendTask 52fdfc07-2182-654f 141
SendTask 52fdfc07-2182-654f 890
SendTask 52fdfc07-2182-654f 148
SendTask 52fdfc07-2182-654f 152
SendTask 52fdfc07-2182-654f 155
SendTask 52fdfc07-2182-654f 158
SendTask 52fdfc07-2182-654f 160
SendTask 52fdfc07-2182-654f 161
SendTask 52fdfc07-2182-654f 162
SendTask 52fdfc07-2182-654f 877
SendTask 52fdfc07-2182-654f 881
SendTask 52fdfc07-2182-654f 484
SendTask 52fdfc07-2182-654f 151
SendTask 52fdfc07-2182-654f 153
SendTask 52fdfc07-2182-654f 157
SendTask 52fdfc07-2182-654f 159
SendTask 52fdfc07-2182-654f 1094
SendTask 52fdfc07-2182-654f 884
SendTask 52fdfc07-2182-654f 887
SendTask 52fdfc07-2182-654f 895
SendTask 52fdfc07-2182-654f 897
SendTask 52fdfc07-2182-654f 452
SendTask 52fdfc07-2182-654f 902
SendTask 52fdfc07-2182-654f 911
SendTask 52fdfc07-2182-654f 357
SendTask 52fdfc07-2182-654f 914
SendTask 52fdfc07-2182-654f 916
SendTask 52fdfc07-2182-654f 365
SendTask 52fdfc07-2182-654f 922
SendTask 52fdfc07-2182-654f 373
SendTask 52fdfc07-2182-654f 380
SendTask 52fdfc07-2182-654f 930
SendTask 52fdfc07-2182-654f 393
SendTask 52fdfc07-2182-654f 396
SendTask 52fdfc07-2182-654f 397
SendTask 52fdfc07-2182-654f 398
SendTask 52fdfc07-2182-654f 937
SendTask 52fdfc07-2182-654f 401
SendTask 52fdfc07-2182-654f 407
SendTask 52fdfc07-2182-654f 171
SendTask 52fdfc07-2182-654f 172
SendTask 52fdfc07-2182-654f 176
SendTask 52fdfc07-2182-654f 419
SendTask 52fdfc07-2182-654f 183
SendTask 52fdfc07-2182-654f 185
SendTask 52fdfc07-2182-654f 423
SendTask 52fdfc07-2182-654f 426
SendTask 52fdfc07-2182-654f 435
SendTask 52fdfc07-2182-654f 442
SendTask 52fdfc07-2182-654f 443
SendTask 52fdfc07-2182-654f 947
SendTask 52fdfc07-2182-654f 445
SendTask 52fdfc07-2182-654f 449
SendTask 52fdfc07-2182-654f 450
SendTask 52fdfc07-2182-654f 910
SendTask 52fdfc07-2182-654f 233
SendTask 52fdfc07-2182-654f 461
SendTask 52fdfc07-2182-654f 197
SendTask 52fdfc07-2182-654f 469
SendTask 52fdfc07-2182-654f 479
SendTask 52fdfc07-2182-654f 954
SendTask 52fdfc07-2182-654f 480
SendTask 52fdfc07-2182-654f 955
SendTask 52fdfc07-2182-654f 956
SendTask 52fdfc07-2182-654f 483
SendTask 52fdfc07-2182-654f 871
SendTask 52fdfc07-2182-654f 873
SendTask 52fdfc07-2182-654f 876
SendTask 52fdfc07-2182-654f 878
SendTask 52fdfc07-2182-654f 880
SendTask 52fdfc07-2182-654f 882
SendTask 52fdfc07-2182-654f 885
SendTask 52fdfc07-2182-654f 886
SendTask 52fdfc07-2182-654f 889
SendTask 52fdfc07-2182-654f 356
SendTask 52fdfc07-2182-654f 893
SendTask 52fdfc07-2182-654f 899
SendTask 52fdfc07-2182-654f 912
SendTask 52fdfc07-2182-654f 359
SendTask 52fdfc07-2182-654f 915
SendTask 52fdfc07-2182-654f 364
SendTask 52fdfc07-2182-654f 366
SendTask 52fdfc07-2182-654f 919
SendTask 52fdfc07-2182-654f 369
SendTask 52fdfc07-2182-654f 372
SendTask 52fdfc07-2182-654f 375
SendTask 52fdfc07-2182-654f 376
